name__v,price__c,bicycle_manufacturer__c.name__v,link__sys,quantity__c,status__v
BMX Bicycle,500,ABC Bicycle Company,,50,"active__v"
Tour de France Racing Bicycle,1000,Racing Bicycle Company,,10,"active__v"
Everest Mountain Bicycle,750,Mountain Bicycle Co,,10,"active__v"
City Bicycle,200,ABC Bicycle Company,,100,"active__v"
Apex Trail Bicycle,750,Mountain Bicycle Co,,15,"active__v"
Mountaineer Bicycle,1000,Mountain Bicycle Co,,75,"active__v"
Kilimanjaro Mountain Bicycle,400,Mountain Bicycle Co,,20,"active__v"
Nitro Racing Bicycle,600,Racing Bicycle Company,,60,"active__v"
Comfort Dual Suspension Bicycle,500,ABC Bicycle Company,,50,"active__v"
Basket Bicycle,400,ABC Bicycle Company,,0,"active__v"
ABC Surge Bicycle,1000,ABC Bicycle Company,,15,"active__v"
Swift Bicycle,350,Racing Bicycle Company,,10,"active__v"
SuperFast Racing Bicycle,850,Racing Bicycle Company,,85,"active__v"
NitroPro Downhill Bicycle,1000,Mountain Bicycle Co,,10,"active__v"
ABC Classic Bicycle,700,ABC Bicycle Company,,100,"active__v"
